name,lng,lat,addr
마포,37.5734407,126.90072,서울시 마포구 성중길 82
광진,37.5537641,127.0805694,서울시 광진구 천호대로112길 55
종로,37.5707112,126.9889739,서울시 종로구 종로17길 8
동대문,37.5900002,127.0695389,서울시 동대문구 한천로 326
서초,37.4801882,126.9856076,서울시 서초구 청두곶길 38-5
강북,37.6183062,127.0238672,서울시 강북구 솔샘로 284
관악,37.4895353,126.9481613,서울시 관악구 구암길 38
강동,37.5290012,127.1260331,서울시 강동구 성내로 51
영등포,37.5379133,126.8843772,서울시 영등포구 양평로 171
용산,37.5454584,126.969896,서울시 용산구 청파로49길 6
중랑,37.5738058,127.0850044,서울시 중랑구 면목로 238
강서,37.5564606,126.8718303,서울시 강서구 양천로67길 93-22
강남,37.517305,127.047502,서울시 강남구 학동로 426
도봉,37.6467676,127.043758,서울시 도봉구 해등로 25
은평,37.6037201,126.9279226,서울시 은평구 녹번로 16
성북,37.5990368,127.0352315,서울시 성북구 종암로 98-8
송파,37.502998,127.1280952,서울시 송파구 중대로25길 5
동작,37.51625,126.94515,서울시 동작구 노들로 734
중구,37.5534968,127.0029943,서울시 중구 장충단로 88
구로,37.4913771,126.8834703,서울시 구로구 구로동로 141
금천,37.4661409,126.8997788,서울시 금천구 범안로 1240-7
양천,37.5281345,126.8765349,서울시 양천구 목동동로 298
노원,37.6390627,127.066315,서울시 노원구 동일로 1229
성동,37.53894,127.041641,서울시 성동구 강변북로 257
서대문,37.5807597,126.9315574,서울시 서대문구 백련사길 39
남산,37.555658,126.9922369,서울시 중구 삼일대로 231